entrez	target gene	target probe	source probe	Score
68316	Apoo	1452800_a_at	1418127_a_at	0.630282
225348	Wdr36	1423735_a_at	1418127_a_at	0.630016
12461	Cct2	1433535_x_at	1418127_a_at	0.629755
20425	Shmt1	1425179_at	1418127_a_at	0.629436
19826	Rnps1	1438267_x_at	1418127_a_at	0.629381
12729	Clns1a	1423181_s_at	1418127_a_at	0.629229
66497	Cmss1	1428519_at	1418127_a_at	0.629229
19362	Rad51ap1	1417938_at	1418127_a_at	0.629110
15510	Hspd1	1426351_at	1418127_a_at	0.628697
432551	Hspd1-ps3	1426351_at	1418127_a_at	0.628697
30954	Siva1	1426323_x_at	1418127_a_at	0.628460
327762	Dna2	1452210_at	1418127_a_at	0.628403
230935	Dnajc11	1433880_at	1418127_a_at	0.628029
66980	Zdhhc6	1439057_x_at	1418127_a_at	0.628005
17713	Grpel1	1417320_at	1418127_a_at	0.627973
14852	Gspt1	1452168_x_at	1418127_a_at	0.627958
28126	Nop16	1424620_at	1418127_a_at	0.627900
66223	Mrpl35	1419363_a_at	1418127_a_at	0.627389
66988	Lap3	1450860_at	1418127_a_at	0.626991
69702	Ndufaf1	1423711_at	1418127_a_at	0.626427
99138	Stard7	1449628_s_at	1418127_a_at	0.626291
105372	Utp15	1454846_at	1418127_a_at	0.625957
18974	Pole2	1427094_at	1418127_a_at	0.625806
66471	Anp32e	1420592_a_at	1418127_a_at	0.625769
22143	Tuba1b	1423846_x_at	1418127_a_at	0.625151
434428	Gm5620	1423846_x_at	1418127_a_at	0.625151
433702	Ncbp1	1433663_s_at	1418127_a_at	0.624982
66445	Cyc1	1416604_at	1418127_a_at	0.624683
14056	Ezh2	1416544_at	1418127_a_at	0.624566
94061	Mrpl1	1450948_a_at	1418127_a_at	0.624177
15525	Hspa4	1416146_at	1418127_a_at	0.624167
14156	Fen1	1421731_a_at	1418127_a_at	0.624054
68147	Gar1	1418305_s_at	1418127_a_at	0.623739
103136	Pwp1	1417873_at	1418127_a_at	0.623547
108067	Eif2b3	1434524_at	1418127_a_at	0.623021
217057	Ptrh2	1451845_a_at	1418127_a_at	0.622631
66249	Pno1	1450735_at	1418127_a_at	0.622588
66997	Psmd12	1448492_a_at	1418127_a_at	0.622479
75422	Mettl5	1460519_a_at	1418127_a_at	0.622447
76582	Ipo11	1428096_at	1418127_a_at	0.622176
21853	Timeless	1417586_at	1418127_a_at	0.621842
433256	Acsl5	1428082_at	1418127_a_at	0.621821
107476	Acaca	1434185_at	1418127_a_at	0.621633
75623	Tex30	1428593_at	1418127_a_at	0.621434
13445	Cdk2ap1	1456314_x_at	1418127_a_at	0.621311
20174	Ruvbl2	1422482_at	1418127_a_at	0.620644
70361	Lman1	1452671_s_at	1418127_a_at	0.620507
72416	Lrpprc	1424353_at	1418127_a_at	0.620281
23828	Bves	1428458_at	1418127_a_at	0.620067
67724	Pop1	1428458_at	1418127_a_at	0.620067
