entrez	target gene	target probe	source probe	Score
22218	Sumo1	1438289_a_at	1418127_a_at	0.548422
14211	Smc2	1448635_at	1418127_a_at	0.547987
66307	Isoc1	1425053_at	1418127_a_at	0.547759
20624	Eftud2	1456107_x_at	1418127_a_at	0.547722
380773	Slirp	1428554_a_at	1418127_a_at	0.547607
69163	Mrpl44	1437391_x_at	1418127_a_at	0.547266
231329	Polr2b	1433552_a_at	1418127_a_at	0.547219
67878	Tmem33	1452053_a_at	1418127_a_at	0.547188
381045	Ccdc58	1424465_at	1418127_a_at	0.546757
109778	Blvra	1428580_at	1418127_a_at	0.546641
60365	Rbm8a	1418119_at	1418127_a_at	0.546572
225745	Haus1	1424955_at	1418127_a_at	0.546502
12850	Coq7	1416665_at	1418127_a_at	0.546370
52123	Agpat5	1434287_at	1418127_a_at	0.546291
56297	Arl6	1417331_a_at	1418127_a_at	0.546265
104662	Tsr1	1455643_s_at	1418127_a_at	0.546222
67900	Mtfp1	1424223_at	1418127_a_at	0.546178
244879	Npat	1456485_at	1418127_a_at	0.546067
13167	Dbi	1433991_x_at	1418127_a_at	0.546041
78651	Lsm6	1437109_s_at	1418127_a_at	0.546041
23908	Hs2st1	1450729_at	1418127_a_at	0.545895
70998	Phf6	1454625_at	1418127_a_at	0.545698
30795	Fkbp3	1416858_a_at	1418127_a_at	0.545582
209584	Tyw3	1435728_at	1418127_a_at	0.545523
15490	Hsd17b7	1457248_x_at	1418127_a_at	0.545510
57785	Rangrf	1448740_at	1418127_a_at	0.545309
230709	Zmpste24	1427923_at	1418127_a_at	0.545140
67096	Mmachc	1418915_at	1418127_a_at	0.545078
69577	Fastkd3	1452797_at	1418127_a_at	0.544809
245474	Dkc1	1438016_at	1418127_a_at	0.544659
15312	Hmgn1	1455897_x_at	1418127_a_at	0.544484
59025	Usp14	1416208_at	1418127_a_at	0.544418
13445	Cdk2ap1	1435509_x_at	1418127_a_at	0.544398
14450	Gart	1424436_at	1418127_a_at	0.544106
20778	Scarb1	1437378_x_at	1418127_a_at	0.543789
19166	Psma2	1448206_at	1418127_a_at	0.543452
18813	Pa2g4	1420142_s_at	1418127_a_at	0.543347
209354	Eif2b1	1460730_at	1418127_a_at	0.543238
110842	Etfa	1423972_at	1418127_a_at	0.543180
67618	Aasdhppt	1428756_at	1418127_a_at	0.543045
621156	Apoo-ps	1452800_a_at	1418127_a_at	0.542873
