"NAME","GSM538201","GSM538202","GSM538203","GSM538382","GSM538383","GSM538384","GSM538415","GSM538416","GSM538417"
"NDUFB8",163.837,170.9683,151.6025,174.7529,173.7954,154.1065,137.4618,171.373,173.7194
"MRPL43",229.4415,183.5691,202.6778,204.0341,223.3734,155.5171,216.8358,300.4202,194.8304
"PDZD7",75.5566,85.935,95.4892,65.9478,59.1231,93.0426,86.4053,77.3485,71.6972
"LBX1",113.1376,117.2703,120.6558,99.8531,116.7902,138.6908,135.918,153.3791,139.1257
"POLL",107.3803,114.7528,95.9954,104.6061,100.5009,100.0344,103.1903,101.2372,93.799
"FBXW4",311.9604,349.8461,348.0295,371.9766,429.7897,337.5828,546.5139,507.4784,454.8907
"FGF8",154.3874,188.8099,209.6181,195.0786,177.6485,229.4408,302.7238,350.1877,268.0749
"NPM3-PS1",202.3927,190.3158,182.3515,543.2254,366.3625,336.769,306.168,416.0962,318.3513
"MGEA5",1110.2139,1069.4141,1070.2203,1086.0732,1245.1818,1177.4642,476.105,515.0429,821.0601
"KCNIP2",32.8193,33.1872,36.4139,69.333,71.4852,64.056,51.8887,63.312,48.9527
"9130011E15RIK",282.5067,279.2429,264.5449,171.2685,167.4238,138.7508,166.0962,164.2165,141.4336
"LDB1",971.8656,960.1893,952.0966,1487.1553,1698.7535,1628.4631,1034.455,989.6543,1223.0531
"PITX3",73.8378,108.2818,108.1799,96.9327,104.7122,148.7773,164.7987,175.4173,155.0601
"PSD",90.1496,76.4467,92.7026,59.2956,57.764,74.5499,96.8479,77.7658,78.734
"CUEDC2",201.2261,208.8364,203.5954,155.7082,149.1046,153.4906,219.0466,324.0014,236.4079
"ACTR1A",530.4532,478.7813,465.028,614.319,643.2225,637.9341,353.5746,415.3984,448.4003
"GM9798",172.6508,142.3151,155.378,189.9824,192.8619,165.3256,216.0457,234.6329,216.4292
"ARL3",203.0086,179.4516,198.8731,167.2675,205.4309,208.0662,171.42,284.2785,280.3906
"CYP17A1",19.5683,22.9186,26.1874,26.2338,22.8124,25.2681,51.028,26.5033,36.0772
"GM10199",76.5643,64.5066,62.7604,82.883,88.3399,80.8738,96.2591,115.9691,125.3451
"NT5C2",470.0278,430.6303,469.7097,268.621,332.8283,283.5207,139.4478,178.8663,177.4186
"PCGF6",242.6692,231.103,211.454,217.6192,200.9791,154.6739,91.9429,122.3651,160.9787
"USMG5",126.9402,107.3472,91.5041,344.9842,326.8208,301.9833,92.9924,86.1275,81.1
"D930027P08RIK",1011.896,831.3698,1032.0828,221.9377,215.5214,169.5427,162.521,260.5486,271.4899
