GeneSymbol,proB_CLP_BM,proB_FrA_BM,proB_FrBC_BM,preB_FrC_BM,preB_FrD_BM,B_FrE_BM,B_FrF_BM,B_Fo_Sp,preT_ETP_Th,preT_DN2_Th,preT_DN3A_Th,preT_DN3B_Th,T_DN4_Th,T_DP_Th,T_4SP24._Th,T_8SP24._Th,T_4Nve_Sp,T_8Nve_Sp
PCNA,1970.68,1982.42,2973.33,4445.72,1932.07,751.654,490.533,634.732,1887.4,2565.6,943.897,2928.1,2977.54,1081.18,1172.52,1502.92,851.178,606.601
FTH1,3976.54,4023.15,3162.49,3424.81,3153.88,3426.56,4305.7,4541.19,5355.22,5595.85,3972.21,3797.07,3253.78,1641.59,2701.92,2447.48,2952.19,1929.37
RAB3IL1,78.413,83.8242,66.0952,60.744,62.1197,71.2889,59.7285,61.3062,98.2504,70.0404,66.0844,64.6673,58.9299,78.0848,64.7359,48.9935,65.9777,59.6588
FADS3,242.258,261.92,89.5947,64.4619,53.7145,61.6033,57.6348,50.5366,313.026,153.607,150.089,75.9655,59.3822,77.2654,52.4383,58.7296,55.4138,78.0756
FADS1,331.29,287.315,346.319,328.686,164.664,78.824,50.8184,48.1708,521.82,809.916,824.098,814.139,700.729,205.855,134.211,163.522,208.666,174.183
FEN1,218.926,242.469,226.628,364.143,222.563,186.493,117.768,133.004,181.472,290.206,196.981,394.714,326.296,190.72,176.717,188.308,124.465,139.866
1810006K21RIK,177.912,175.464,147.093,189.972,174.615,151.955,167.052,195.508,163.517,146.578,201.807,158.925,177.484,159.204,192.564,160.866,217.933,118.688
SYT7,62.7769,74.141,66.1746,64.3447,67.5945,69.6514,67.0004,56.7428,63.1946,58.6457,66.9472,62.5585,63.5184,87.6837,71.308,69.6112,62.5934,102.265
CPSF7,459.361,508.208,668.775,749.601,839.258,751.197,639.227,658.404,404.018,439.938,599.609,495.12,588.86,643.044,460.498,424.93,426.445,396.243
CYBASC3,1006.71,1215.52,1873.33,886.692,1766.13,3840.26,2536.71,2567.6,750.214,579.32,531.88,287.788,215.764,199.317,314.893,355.167,368.262,240.601
DDB1,1268.16,1002.2,1237.17,1498.96,967.159,895.991,815.658,914.482,1937.89,2178.83,2049.77,2282.69,1929.58,963.723,1087.99,1174.83,1112.08,782.203
VWCE,75.6329,95.3867,81.6502,88.4413,89.0415,91.9445,107.264,78.4745,81.7212,76.4383,249.4,133.733,115.215,125.347,92.7905,84.3171,110.692,105.715
VPS37C,211.454,192.639,208.795,143.941,148.501,152.275,156.666,146.97,280.427,236.868,261.477,190.62,205.091,150.214,167.094,162.646,187.226,145.177
A430093F15RIK,52.5525,60.9665,54.8009,52.337,57.9784,61.6674,67.657,50.8515,64.3583,44.9175,59.8748,78.9591,284.879,99.1116,174.788,113.8,154.099,132.108
SLC15A3,159.908,150.823,143.504,201.894,223.379,391.944,172.833,191.393,103.616,62.7696,60.9574,75.1785,71.7971,104.072,75.7502,63.2332,55.6214,83.5477
PRPF19,611.312,464.063,661.573,981.269,518.947,445.735,402.589,417.204,757.989,735.97,479.244,857.677,678.875,287.544,455.802,556.725,413.118,412.241
GPR44,59.0209,75.1883,60.5264,54.9223,68.2697,65.9305,67.7405,61.3845,64.2679,60.2516,62.7243,60.2122,62.8825,70.1692,71.6345,64.2334,65.0455,80.0118
MS4A4A,65.5682,59.6424,51.6896,48.4823,62.5162,74.5216,78.9914,86.5084,28.8105,30.3377,32.9165,32.0205,37.3642,32.9822,87.6159,86.419,101.321,84.2178
MS4A4C,97.5887,63.145,37.5314,33.0498,51.749,252.262,1780.03,3040.92,57.9301,32.8428,34.6821,38.3014,44.9829,33.089,230.069,432.715,478.378,418.633
MS4A4B,25.2247,32.7387,17.0198,18.6472,20.5139,21.3066,26.8433,25.4301,34.2536,36.7261,76.5388,38.1328,100.138,30.7708,1031.2,1278.56,1700.08,854.898
MS4A6C,496.058,316.155,91.5412,47.5594,151.528,189.499,385.099,566.605,184.298,127.346,107.882,55.8065,47.2986,27.5887,193.893,149.272,576.674,192.628
