"Genes","Curated_pathway","Database_ID","Database_pathway_name"
"LMAN2","Protein synthesis","KEGG:04141","Protein processing in ER"
"LMAN1","Protein synthesis","KEGG:04141","Protein processing in ER"
"LMAN1L","Protein synthesis","KEGG:04141","Protein processing in ER"
"PREB","Protein synthesis","KEGG:04141","Protein processing in ER"
"SAR1A","Protein synthesis","KEGG:04141","Protein processing in ER"
"SAR1B","Protein synthesis","KEGG:04141","Protein processing in ER"
"SEC13","Protein synthesis","KEGG:04141","Protein processing in ER"
"SEC31A","Protein synthesis","KEGG:04141","Protein processing in ER"
"SEC31B","Protein synthesis","KEGG:04141","Protein processing in ER"
"SEC23B","Protein synthesis","KEGG:04141","Protein processing in ER"
"SEC23A","Protein synthesis","KEGG:04141","Protein processing in ER"
"SEC24B","Protein synthesis","KEGG:04141","Protein processing in ER"
"SEC24A","Protein synthesis","KEGG:04141","Protein processing in ER"
"SEC24C","Protein synthesis","KEGG:04141","Protein processing in ER"
"SEC24D","Protein synthesis","KEGG:04141","Protein processing in ER"
"UGGT2","Protein synthesis","KEGG:04141","Protein processing in ER"
"UGGT1","Protein synthesis","KEGG:04141","Protein processing in ER"
"EDEM1","Protein synthesis","KEGG:04141","Protein processing in ER"
"EDEM2","Protein synthesis","KEGG:04141","Protein processing in ER"
"EDEM3","Protein synthesis","KEGG:04141","Protein processing in ER"
"P4HB","Protein synthesis","KEGG:04141","Protein processing in ER"
"PDIA4","Protein synthesis","KEGG:04141","Protein processing in ER"
"PDIA6","Protein synthesis","KEGG:04141","Protein processing in ER"
"ERP29","Protein synthesis","KEGG:04141","Protein processing in ER"
"TXNDC5","Protein synthesis","KEGG:04141","Protein processing in ER"
"ERO1L","Protein synthesis","KEGG:04141","Protein processing in ER"
"ERO1LB","Protein synthesis","KEGG:04141","Protein processing in ER"
"OS9","Protein synthesis","KEGG:04141","Protein processing in ER"
"ERLEC1","Protein synthesis","KEGG:04141","Protein processing in ER"
"SSR1","Protein synthesis","KEGG:04141","Protein processing in ER"
"SSR2","Protein synthesis","KEGG:04141","Protein processing in ER"
"SSR3","Protein synthesis","KEGG:04141","Protein processing in ER"
"SSR4","Protein synthesis","KEGG:04141","Protein processing in ER"
"BCAP31","Protein synthesis","KEGG:04141","Protein processing in ER"
"TRAM1","Protein synthesis","KEGG:04141","Protein processing in ER"
"DERL1","Protein synthesis","KEGG:04141","Protein processing in ER"
"DERL2","Protein synthesis","KEGG:04141","Protein processing in ER"
"DERL3","Protein synthesis","KEGG:04141","Protein processing in ER"
"UBXN6","Protein synthesis","KEGG:04141","Protein processing in ER"
"NSFL1C","Protein synthesis","KEGG:04141","Protein processing in ER"
"SVIP","Protein synthesis","KEGG:04141","Protein processing in ER"
"VCP","Protein synthesis","KEGG:04141","Protein processing in ER"
"NPLOC4","Protein synthesis","KEGG:04141","Protein processing in ER"
"HSPA8","Protein synthesis","KEGG:04141","Protein processing in ER"
"HSPA1L","Protein synthesis","KEGG:04141","Protein processing in ER"
"HSPA1A","Protein synthesis","KEGG:04141","Protein processing in ER"
"HSPA2","Protein synthesis","KEGG:04141","Protein processing in ER"
"DNAJA1","Protein synthesis","KEGG:04141","Protein processing in ER"
"DNAJA2","Protein synthesis","KEGG:04141","Protein processing in ER"
"DNAJB1","Protein synthesis","KEGG:04141","Protein processing in ER"
"DNAJB2","Protein synthesis","KEGG:04141","Protein processing in ER"
"DNAJB12","Protein synthesis","KEGG:04141","Protein processing in ER"
"DNAJC5","Protein synthesis","KEGG:04141","Protein processing in ER"
"DNAJC5B","Protein synthesis","KEGG:04141","Protein processing in ER"
"DNAJC5G","Protein synthesis","KEGG:04141","Protein processing in ER"
"HSP90AA1","Protein synthesis","KEGG:04141","Protein processing in ER"
"HSP90AB1","Protein synthesis","KEGG:04141","Protein processing in ER"
"HSPH1","Protein synthesis","KEGG:04141","Protein processing in ER"
"HSPA4L","Protein synthesis","KEGG:04141","Protein processing in ER"
